sentiment_score,value,company
-0.1,Execution,Baker Hughes
1.5,Innovation,Baker Hughes
0.1,Integrity,Baker Hughes
-1,Performance,Baker Hughes
-0.9,Respect,Baker Hughes
-1,Agility,Banana Republic
1.5,Collaboration,Banana Republic
1.2,Customer,Banana Republic
1.4,Diversity,Banana Republic
-0.9,Execution,Banana Republic
-0.1,Innovation,Banana Republic
-0.5,Integrity,Banana Republic
-0.9,Performance,Banana Republic
-0.6,Respect,Banana Republic
-1.1,Agility,Bank of America
0.8,Collaboration,Bank of America
0,Customer,Bank of America
1.8,Diversity,Bank of America
-0.6,Execution,Bank of America
1.4,Innovation,Bank of America
-0.9,Integrity,Bank of America
-0.3,Performance,Bank of America
-1,Respect,Bank of America
-1,Agility,Banner Health
1.1,Collaboration,Banner Health
0.9,Customer,Banner Health
0.1,Diversity,Banner Health
-0.6,Execution,Banner Health
2,Innovation,Banner Health
-1,Integrity,Banner Health
-0.7,Performance,Banner Health
-0.6,Respect,Banner Health
-1.2,Agility,Barclays
1.2,Collaboration,Barclays
1.1,Customer,Barclays
1,Diversity,Barclays
-0.8,Execution,Barclays
1.1,Innovation,Barclays
-1,Integrity,Barclays
-0.2,Performance,Barclays
-1.1,Respect,Barclays
-1.2,Agility,Baxter
0.2,Collaboration,Baxter
2.3,Customer,Baxter
1,Diversity,Baxter
-0.7,Execution,Baxter
-0.4,Innovation,Baxter
0.1,Integrity,Baxter
-0.6,Performance,Baxter
-0.7,Respect,Baxter
-1.8,Agility,Bayer
0.7,Collaboration,Bayer
0.6,Customer,Bayer
1.4,Diversity,Bayer
-0.4,Execution,Bayer
0.9,Innovation,Bayer
-0.1,Integrity,Bayer
0.1,Performance,Bayer
-1.4,Respect,Bayer
-0.9,Agility,Baylor Scott & White Health
1.5,Collaboration,Baylor Scott & White Health
1.3,Customer,Baylor Scott & White Health
0.8,Diversity,Baylor Scott & White Health
-0.6,Execution,Baylor Scott & White Health
0.8,Innovation,Baylor Scott & White Health
-1,Integrity,Baylor Scott & White Health
-1.2,Performance,Baylor Scott & White Health
-0.7,Respect,Baylor Scott & White Health
-1.3,Agility,BB&T
1.4,Collaboration,BB&T
1.7,Customer,BB&T
-0.1,Diversity,BB&T
-0.3,Execution,BB&T
-0.2,Innovation,BB&T
0.5,Integrity,BB&T
-0.4,Performance,BB&T
-1.4,Respect,BB&T
-0.8,Agility,BBVA Compass
1.1,Collaboration,BBVA Compass
0.4,Customer,BBVA Compass
1,Diversity,BBVA Compass
-0.9,Execution,BBVA Compass
1.7,Innovation,BBVA Compass
-0.9,Integrity,BBVA Compass
-0.3,Performance,BBVA Compass
-1.2,Respect,BBVA Compass
-0.9,Agility,Boston Consulting Group
1.6,Collaboration,Boston Consulting Group
0.6,Customer,Boston Consulting Group
1,Diversity,Boston Consulting Group
-0.7,Execution,Boston Consulting Group
0.3,Innovation,Boston Consulting Group
-1.8,Integrity,Boston Consulting Group
-0.4,Performance,Boston Consulting Group
0.4,Respect,Boston Consulting Group
-1.5,Agility,BD
0.7,Collaboration,BD
1.3,Customer,BD
-0.7,Diversity,BD
-0.5,Execution,BD
0.8,Innovation,BD
1.5,Integrity,BD
-0.9,Performance,BD
-0.7,Respect,BD
-1.9,Agility,Bechtel
0.7,Collaboration,Bechtel
-0.5,Customer,Bechtel
1.3,Diversity,Bechtel
0.3,Execution,Bechtel
0.6,Innovation,Bechtel
1.1,Integrity,Bechtel
-0.5,Performance,Bechtel
-1.1,Respect,Bechtel
-0.6,Agility,Benefitfocus
0.6,Collaboration,Benefitfocus
0.5,Customer,Benefitfocus
-1.1,Diversity,Benefitfocus
-0.8,Execution,Benefitfocus
2.3,Innovation,Benefitfocus
-0.7,Integrity,Benefitfocus
-0.3,Performance,Benefitfocus
0.1,Respect,Benefitfocus
-0.4,Agility,Best Western
1,Collaboration,Best Western
2.1,Customer,Best Western
0.4,Diversity,Best Western
0,Execution,Best Western
-1.3,Innovation,Best Western
-1.1,Integrity,Best Western
-0.4,Performance,Best Western
-0.2,Respect,Best Western
0.2,Agility,Big Lots
2.1,Collaboration,Big Lots
1,Customer,Big Lots
-1,Diversity,Big Lots
-0.6,Execution,Big Lots
0.5,Innovation,Big Lots
-1,Integrity,Big Lots
-0.7,Performance,Big Lots
-0.6,Respect,Big Lots
-0.9,Agility,Biogen
0.2,Collaboration,Biogen
1.5,Customer,Biogen
0.6,Diversity,Biogen
-0.8,Execution,Biogen
1.7,Innovation,Biogen
-0.6,Integrity,Biogen
-0.8,Performance,Biogen
-0.9,Respect,Biogen
-0.6,Agility,BJ's Wholesale Club
1.5,Collaboration,BJ's Wholesale Club
1.9,Customer,BJ's Wholesale Club
-0.9,Diversity,BJ's Wholesale Club
-0.2,Execution,BJ's Wholesale Club
0.2,Innovation,BJ's Wholesale Club
-0.9,Integrity,BJ's Wholesale Club
0,Performance,BJ's Wholesale Club
-1.1,Respect,BJ's Wholesale Club
-1.3,Agility,BlackRock
-0.1,Collaboration,BlackRock
2.1,Customer,BlackRock
0.1,Diversity,BlackRock
-0.8,Execution,BlackRock
1.1,Innovation,BlackRock
0.2,Integrity,BlackRock
-0.6,Performance,BlackRock
-0.7,Respect,BlackRock
-0.5,Agility,Bloomberg L.P.
1.4,Collaboration,Bloomberg L.P.
0.6,Customer,Bloomberg L.P.
0.2,Diversity,Bloomberg L.P.
-0.5,Execution,Bloomberg L.P.
1.3,Innovation,Bloomberg L.P.
-1.8,Integrity,Bloomberg L.P.
0.4,Performance,Bloomberg L.P.
-1,Respect,Bloomberg L.P.
-1,Agility,Bloomingdale's
1.1,Collaboration,Bloomingdale's
1.1,Customer,Bloomingdale's
1,Diversity,Bloomingdale's
0.7,Execution,Bloomingdale's
0.6,Innovation,Bloomingdale's
-1.1,Integrity,Bloomingdale's
-1.2,Performance,Bloomingdale's
-1.2,Respect,Bloomingdale's
-1.3,Agility,Bristol-Myers Squibb
0.5,Collaboration,Bristol-Myers Squibb
